"pid","sale_price","sale_date","sale_price_2009","sale_date_2009","total_2024","total_2023"
12417,106000,1994-02-03,NA,NA,131110,103880
12418,155000,2023-01-12,NA,NA,131110,103880
12419,240000,2005-01-06,NA,NA,156100,113330
12420,51381,2022-07-12,NA,NA,150500,110180
12421,170000,2021-10-28,NA,NA,131110,103880
12422,0,2025-06-09,NA,NA,131110,106050
12423,126500,2015-10-19,NA,NA,131110,103880
12424,107000,1993-10-21,NA,NA,131740,108850
12425,257500,2007-05-01,NA,NA,155890,118650
12426,148000,2016-07-08,NA,NA,147490,121170
12427,1e+05,1998-10-16,NA,NA,158130,111440
12428,168000,2019-04-03,NA,NA,157640,125930
12429,235000,2025-06-26,NA,NA,130760,103600
12430,175000,2021-06-16,NA,NA,129150,111930
12431,0,1984-11-20,NA,NA,120400,98630
12432,134000,2000-07-25,NA,NA,148400,108430
12433,154394,2020-09-24,NA,NA,123620,97930
12434,151000,2002-07-19,NA,NA,130270,103180
12435,129000,2016-04-01,NA,NA,129920,107590
12436,175900,2020-08-17,NA,NA,141400,112560
12437,0,1985-08-13,NA,NA,151340,118930
12438,164000,2020-07-02,NA,NA,157010,115010
12439,92000,1998-04-06,NA,NA,131460,104160
12440,115000,2000-06-26,NA,NA,131460,104160
12441,110000,1998-11-20,NA,NA,131460,104160
12442,0,1985-11-15,NA,NA,127050,104160
12443,69000,2013-09-12,NA,NA,156240,113470
12444,420000,2024-06-24,NA,NA,254870,163800
12445,187000,2018-03-20,NA,NA,248430,157850
12446,210000,2003-11-17,NA,NA,232190,148680
12447,295000,2018-04-18,NA,NA,277060,186970
12448,225000,2016-10-21,NA,NA,253890,168350
12449,345000,2020-05-22,NA,NA,339850,244370
12450,155000,2019-11-04,NA,NA,235550,129080
12451,265000,2022-09-21,NA,NA,221690,146510
12452,144000,2018-02-26,NA,NA,264320,156030
12453,143000,1998-04-03,NA,NA,229670,151900
12454,0,2018-01-12,NA,NA,244580,152950
12455,265000,2003-03-11,NA,NA,242130,158760
