"pid","sale_price","sale_date","total_2024","total_2023","building_2024","building_2023","extra_2024","extra_2023","outb_2024","outb_2023","land_2024","land_2023"
15793,0,1987-05-26,616840,368970,474530,251580,15400,5460,0,0,126910,111930
15794,0,1975-12-18,234360,239540,82180,113470,2590,1820,9450,6930,140140,117320
15795,210000,2004-08-19,251930,166950,177380,114450,5250,3920,0,0,69300,48580
15797,440000,1997-07-30,224523740,106887270,141781640,91129640,6667430,6249880,1323070,1015210,74751600,8492540
15798,85000,1997-04-10,371000,310590,0,0,0,0,0,0,371000,310590
15799,3e+05,2022-06-23,191590,131810,135170,92190,2590,1890,0,0,53830,37730
15800,204000,2008-04-21,184730,127470,130620,89530,0,0,0,0,54110,37940
15801,190000,2007-12-21,226380,155750,153790,104090,0,0,16940,12670,55650,38990
15802,0,1988-02-24,227430,150570,162610,105420,2800,1890,3290,2100,58730,41160
15803,46000,2005-05-20,185710,129220,123830,85260,2590,1890,0,490,59290,41580
15804,460000,2024-12-09,265510,148400,210770,110390,3220,1890,0,0,51520,36120
15805,163000,1990-02-16,221550,150430,162890,109340,2660,1890,0,0,56000,39200
15806,0,2025-02-05,195790,128170,132230,83370,2590,1820,5600,4200,55370,38780
15807,255000,2005-04-01,207410,137970,148890,96880,2730,1960,700,560,55090,38570
15808,0,2023-10-23,239540,169470,182070,129010,2590,1890,770,630,54110,37940
15809,345000,2008-10-27,288120,238210,230300,190330,2590,1890,1120,8050,54110,37940
15810,1,1998-02-02,194810,131670,136850,91070,2590,1820,0,0,55370,38780
15811,133500,1999-05-04,217140,147350,159460,106960,2590,1820,0,0,55090,38570
15812,239700,2018-01-05,264460,179410,204330,137200,5390,3850,0,0,54740,38360
15813,138000,2013-01-14,197680,133980,135380,90300,2660,1890,0,0,59640,41790
15814,340000,2024-04-10,221410,146020,165830,107100,2940,2030,0,0,52640,36890
15815,138900,1998-08-27,217280,146510,165760,110390,2870,2030,0,0,48650,34090
15816,265000,2004-06-10,261660,172690,205590,133350,2870,2030,0,0,53200,37310
15817,0,2023-07-11,216650,141470,162540,103530,0,0,0,0,54110,37940
15818,150000,2014-08-08,202020,144410,142380,102620,0,0,0,0,59640,41790
15819,270000,2022-02-24,203140,140910,140840,97230,2590,1890,0,0,59710,41790
15820,410000,2025-02-05,201950,142030,141960,99680,0,0,0,280,59990,42070
15821,195000,2018-10-10,222530,146580,159460,102200,2660,1890,3500,2660,56910,39830
15822,341000,2024-04-02,207830,133070,149660,92330,2800,1960,0,0,55370,38780
15823,252000,2021-07-28,191030,135590,136360,97230,2590,1890,0,0,52080,36470
15824,320000,2020-07-01,3201520,705250,2442020,0,0,0,0,0,759500,705250
15825,330000,2021-11-22,252420,166600,193130,124880,2940,2100,980,840,55370,38780
15826,160000,1995-12-28,251720,169050,195230,129430,2940,2100,0,0,53550,37520
15827,227000,2018-12-24,220500,143570,167300,106260,0,0,0,0,53200,37310
15828,325000,2005-11-29,240450,158270,184870,118860,2940,2100,0,420,52640,36890
15829,370000,2022-08-01,256830,157570,201040,118580,3150,2100,0,0,52640,36890
